Energy(keV) 	 Hits(N) 
470	2755359	
471	2760516	
472	2765675	
473	2770836	
474	2775998	
475	2781162	
476	2786327	
477	2791494	
478	2796663	
479	2801833	
480	2807005	
481	2812178	
482	2817353	
483	2822530	
484	2827708	
485	2832888	
486	2838069	
487	2843251	
488	2848436	
489	2853622	
490	2858809	
491	2863998	
492	2869188	
493	2874380	
494	2879573	
495	2884768	
496	2889965	
497	2895163	
498	2900362	
499	2905563	
500	2910766	
501	2915969	
502	2921175	
503	2926382	
504	2931590	
505	2936800	
506	2942011	
507	2947224	
508	2952438	
509	2957653	
510	2962870	
511	2968089	
512	2973309	
513	2978530	
514	2983753	
515	2988977	
516	2994203	
517	2999430	
518	3004658	
519	3009888	
520	3015119	
521	3020351	
522	3025585	
523	3030821	
524	3036057	
525	3041295	
526	3046535	
527	3051776	
528	3057018	
529	3062261	
530	3067506	
531	3072752	
532	3078000	
533	3083248	
534	3088498	
535	3093750	
536	3099003	
537	3104257	
538	3109512	
539	3114769	
540	3120027	
541	3125286	
542	3130547	
543	3135809	
544	3141072	
545	3146336	
546	3151602	
547	3156869	
548	3162137	
549	3167406	
550	3172677	
551	3177949	
552	3183222	
553	3188496	
554	3193772	
555	3199049	
556	3204327	
557	3209606	
558	3214887	
559	3220168	
560	3225451	
561	3230735	
562	3236021	
563	3241307	
564	3246595	
565	3251884	
566	3257174	
567	3262465	
568	3267757	
569	3273051	
570	3278345	
571	3283641	
572	3288938	
573	3294236	
574	3299535	
575	3304836	
576	3310137	
577	3315440	
578	3320743	
579	3326048	
580	3331354	
581	3336661	
582	3341969	
583	3347278	
584	3352588	
585	3357900	
586	3363212	
587	3368526	
588	3373840	
589	3379156	
590	3384472	
591	3389790	
592	3395109	
593	3400429	
594	3405749	
595	3411071	
596	3416394	
597	3421718	
598	3427043	
599	3432369	
600	3437696	
601	3443024	
602	3448353	
603	3453683	
604	3459014	
605	3464346	
606	3469678	
607	3475012	
608	3480347	
609	3485683	
610	3491020	
611	3496357	
612	3501696	
613	3507036	
614	3512376	
615	3517718	
616	3523060	
617	3528403	
618	3533748	
619	3539093	
620	3544439	
621	3549786	
622	3555134	
623	3560482	
624	3565832	
625	3571183	
626	3576534	
627	3581886	
628	3587240	
629	3592594	
630	3597949	
631	3603304	
632	3608661	
633	3614018	
634	3619377	
635	3624736	
636	3630096	
637	3635457	
638	3640818	
639	3646181	
640	3651544	
641	3656908	
642	3662273	
643	3667639	
644	3673005	
645	3678373	
646	3683741	
647	3689110	
648	3694479	
649	3699850	
650	3705221	
651	3710593	
652	3715965	
653	3721339	
654	3726713	
655	3732088	
656	3737464	
657	3742840	
658	3748217	
659	3753595	
660	3758974	
661	3764353	
662	3769733	
663	3775113	
664	3780495	
665	3785877	
666	3791260	
667	3796643	
668	3802027	
669	3807412	
670	3812798	
671	3818184	
672	3823571	
673	3828958	
674	3834346	
675	3839735	
676	3845125	
677	3850515	
678	3855905	
679	3861297	
680	3866689	
681	3872081	
682	3877474	
683	3882868	
684	3888262	
685	3893657	
686	3899053	
687	3904449	
688	3909846	
689	3915243	
690	3920641	
691	3926040	
692	3931439	
693	3936838	
694	3942239	
695	3947639	
696	3953041	
697	3958442	
698	3963845	
699	3969248	
700	3974651	
701	3980055	
702	3985459	
703	3990864	
704	3996270	
705	4001676	
706	4007082	
707	4012489	
708	4017897	
709	4023305	
710	4028713	
711	4034122	
712	4039532	
713	4044941	
714	4050352	
715	4055763	
716	4061174	
717	4066585	
718	4071998	
719	4077410	
720	4082823	
721	4088237	
722	4093650	
723	4099065	
724	4104479	
725	4109894	
726	4115310	
727	4120726	
728	4126142	
729	4131559	
730	4136976	
731	4142393	
732	4147811	
733	4153229	
734	4158648	
735	4164067	
736	4169486	
737	4174906	
738	4180326	
739	4185746	
740	4191167	
741	4196588	
742	4202009	
743	4207431	
744	4212853	
745	4218275	
746	4223698	
747	4229121	
748	4234544	
749	4239968	
750	4245392	
751	4250816	
752	4256240	
753	4261665	
754	4267090	
755	4272515	
756	4277941	
757	4283366	
758	4288792	
759	4294219	
760	4299645	
761	4305072	
762	4310499	
763	4315926	
764	4321354	
765	4326781	
766	4332209	
767	4337637	
768	4343066	
769	4348494	
770	4353923	
771	4359352	
772	4364781	
773	4370210	
774	4375640	
775	4381070	
776	4386499	
777	4391929	
778	4397360	
779	4402790	
780	4408220	
781	4413651	
782	4419082	
783	4424513	
784	4429944	
785	4435375	
786	4440806	
787	4446238	
788	4451669	
789	4457101	
790	4462533	
791	4467965	
792	4473397	
793	4478829	
794	4484261	
795	4489693	
796	4495126	
797	4500558	
798	4505991	
799	4511423	
800	4516856	
801	4522288	
802	4527721	
803	4533154	
804	4538587	
805	4544020	
806	4549452	
807	4554885	
808	4560318	
809	4565751	
810	4571184	
811	4576617	
812	4582050	
813	4587483	
814	4592916	
815	4598350	
816	4603783	
817	4609216	
818	4614648	
819	4620081	
820	4625514	
821	4630947	
822	4636380	
823	4641813	
824	4647246	
825	4652678	
826	4658111	
827	4663544	
828	4668976	
829	4674409	
830	4679841	
831	4685273	
832	4690706	
833	4696138	
834	4701570	
835	4707002	
836	4712434	
837	4717865	
838	4723297	
839	4728729	
840	4734160	
841	4739591	
842	4745023	
843	4750454	
844	4755884	
845	4761315	
846	4766746	
847	4772176	
848	4777607	
849	4783037	
850	4788467	
851	4793897	
852	4799326	
853	4804756	
854	4810185	
855	4815614	
856	4821043	
857	4826472	
858	4831900	
859	4837329	
860	4842757	
861	4848185	
862	4853612	
863	4859040	
864	4864467	
865	4869894	
866	4875321	
867	4880747	
868	4886174	
869	4891600	
870	4897025	
871	4902451	
872	4907876	
873	4913301	
874	4918726	
875	4924150	
876	4929575	
877	4934999	
878	4940422	
879	4945845	
880	4951269	
881	4956691	
882	4962114	
883	4967536	
884	4972958	
885	4978379	
886	4983800	
887	4989221	
888	4994642	
889	5000062	
890	5005482	
891	5010901	
892	5016320	
893	5021739	
894	5027157	
895	5032575	
896	5037993	
897	5043410	
898	5048827	
899	5054244	
900	5059660	
901	5065076	
902	5070491	
903	5075906	
904	5081321	
905	5086735	
906	5092149	
907	5097562	
908	5102975	
909	5108388	
910	5113800	
911	5119212	
912	5124623	
913	5130034	
914	5135444	
915	5140854	
916	5146263	
917	5151672	
918	5157081	
919	5162489	
920	5167896	
921	5173304	
922	5178710	
923	5184116	
924	5189522	
925	5194927	
926	5200332	
927	5205736	
928	5211140	
929	5216543	
930	5221946	
931	5227348	
932	5232749	
933	5238150	
934	5243551	
935	5248951	
936	5254350	
937	5259749	
938	5265148	
939	5270546	
940	5275943	
941	5281340	
942	5286736	
943	5292131	
944	5297526	
945	5302921	
946	5308315	
947	5313708	
948	5319100	
949	5324493	
950	5329884	
951	5335275	
952	5340665	
953	5346055	
954	5351444	
955	5356832	
956	5362220	
957	5367607	
958	5372994	
959	5378380	
960	5383765	
961	5389149	
962	5394533	
963	5399917	
964	5405299	
965	5410681	
966	5416063	
967	5421443	
968	5426823	
969	5432202	
970	5437581	
971	5442959	
972	5448336	
973	5453713	
974	5459088	
975	5464464	
976	5469838	
977	5475212	
978	5480585	
979	5485957	
980	5491328	
981	5496699	
982	5502069	
983	5507439	
984	5512807	
985	5518175	
986	5523542	
987	5528908	
988	5534274	
989	5539639	
990	5545003	
991	5550366	
992	5555728	
993	5561090	
994	5566451	
995	5571811	
996	5577171	
997	5582529	
998	5587887	
999	5593244	
1000	5598600	
1001	5603955	
1002	5609310	
1003	5614663	
1004	5620016	
1005	5625368	
1006	5630719	
1007	5636070	
1008	5641419	
1009	5646768	
1010	5652116	
1011	5657463	
1012	5662809	
1013	5668154	
1014	5673498	
1015	5678842	
1016	5684184	
1017	5689526	
1018	5694867	
1019	5700207	
1020	5705546	
1021	5710884	
1022	5716222	
1023	5721558	
1024	5726893	
1025	5732228	
1026	5737562	
1027	5742894	
1028	5748226	
1029	5753557	
1030	5758887	
1031	5764216	
1032	5769544	
1033	5774871	
1034	5780197	
1035	5785522	
1036	5790847	
1037	5796170	
1038	5801492	
1039	5806814	
1040	5812134	
1041	5817454	
1042	5822772	
1043	5828089	
1044	5833406	
1045	5838721	
1046	5844036	
1047	5849349	
1048	5854662	
1049	5859973	
1050	5865284	
1051	5870593	
1052	5875901	
1053	5881209	
1054	5886515	
1055	5891820	
1056	5897125	
1057	5902428	
1058	5907730	
1059	5913031	
1060	5918331	
1061	5923630	
1062	5928928	
1063	5934225	
1064	5939521	
1065	5944816	
1066	5950109	
1067	5955402	
1068	5960694	
1069	5965984	
1070	5971273	
1071	5976562	
1072	5981849	
1073	5987135	
1074	5992420	
1075	5997703	
1076	6002986	
1077	6008268	
1078	6013548	
1079	6018827	
1080	6024106	
1081	6029383	
1082	6034659	
1083	6039933	
1084	6045207	
1085	6050479	
1086	6055751	
1087	6061021	
1088	6066290	
1089	6071558	
1090	6076824	
1091	6082090	
1092	6087354	
1093	6092617	
1094	6097879	
1095	6103140	
1096	6108399	
1097	6113657	
1098	6118915	
1099	6124170	
1100	6129425	
1101	6134679	
1102	6139931	
1103	6145182	
1104	6150432	
1105	6155680	
1106	6160928	
1107	6166174	
1108	6171419	
1109	6176662	
1110	6181905	
1111	6187146	
1112	6192386	
1113	6197624	
1114	6202861	
1115	6208098	
1116	6213332	
1117	6218566	
1118	6223798	
1119	6229029	
1120	6234259	
1121	6239487	
1122	6244714	
1123	6249940	
1124	6255164	
1125	6260387	
1126	6265609	
1127	6270830	
1128	6276049	
1129	6281267	
1130	6286483	
1131	6291699	
1132	6296912	
1133	6302125	
1134	6307336	
1135	6312546	
1136	6317755	
1137	6322962	
1138	6328167	
1139	6333372	
1140	6338575	
1141	6343777	
1142	6348977	
1143	6354176	
1144	6359373	
1145	6364570	
1146	6369764	
1147	6374958	
1148	6380150	
1149	6385340	
1150	6390530	
1151	6395717	
1152	6400904	
1153	6406089	
1154	6411272	
1155	6416454	
1156	6421635	
1157	6426814	
1158	6431992	
1159	6437169	
1160	6442344	
1161	6447517	
1162	6452689	
1163	6457860	
1164	6463029	
1165	6468197	
1166	6473363	
1167	6478527	
1168	6483691	
1169	6488853	
1170	6494013	
1171	6499172	
1172	6504329	
1173	6509485	
1174	6514639	
1175	6519792	
1176	6524944	
1177	6530093	
1178	6535242	
1179	6540389	
1180	6545534	
1181	6550678	
1182	6555820	
1183	6560961	
1184	6566100	
1185	6571238	
1186	6576374	
1187	6581509	
1188	6586642	
1189	6591773	
1190	6596903	
1191	6602032	
1192	6607158	
1193	6612284	
1194	6617408	
1195	6622530	
1196	6627650	
1197	6632769	
1198	6637887	
1199	6643002	
1200	6648117	
1201	6653229	
1202	6658340	
1203	6663450	
1204	6668558	
1205	6673664	
1206	6678769	
1207	6683872	
1208	6688973	
1209	6694073	
1210	6699171	
1211	6704267	
1212	6709362	
1213	6714456	
1214	6719547	
1215	6724637	
1216	6729725	
1217	6734812	
1218	6739897	
1219	6744980	
1220	6750062	
1221	6755142	
1222	6760220	
1223	6765297	
1224	6770372	
1225	6775445	
1226	6780517	
1227	6785587	
1228	6790655	
1229	6795722	
1230	6800787	
1231	6805850	
1232	6810911	
1233	6815971	
1234	6821029	
1235	6826085	
1236	6831140	
1237	6836193	
1238	6841244	
1239	6846293	
1240	6851341	
1241	6856387	
1242	6861431	
1243	6866474	
1244	6871514	
1245	6876553	
1246	6881590	
1247	6886626	
1248	6891659	
1249	6896691	
1250	6901722	
1251	6906750	
1252	6911776	
1253	6916801	
1254	6921824	
1255	6926846	
1256	6931865	
1257	6936883	
1258	6941898	
1259	6946913	
1260	6951925	
1261	6956935	
1262	6961944	
1263	6966951	
1264	6971956	
1265	6976959	
1266	6981960	
1267	6986960	
1268	6991957	
1269	6996953	
1270	7001947	
1271	7006939	
1272	7011930	
1273	7016918	
1274	7021905	
1275	7026889	
1276	7031872	
1277	7036853	
1278	7041832	
1279	7046810	
1280	7051785	
1281	7056759	
1282	7061730	
1283	7066700	
1284	7071668	
1285	7076634	
1286	7081598	
1287	7086560	
1288	7091521	
1289	7096479	
1290	7101435	
1291	7106390	
1292	7111343	
1293	7116293	
1294	7121242	
1295	7126189	
1296	7131134	
1297	7136077	
1298	7141018	
1299	7145957	
1300	7150894	
1301	7155830	
1302	7160763	
1303	7165694	
1304	7170624	
1305	7175551	
1306	7180476	
1307	7185400	
1308	7190321	
1309	7195241	
1310	7200158	
1311	7205074	
1312	7209988	
1313	7214899	
1314	7219809	
1315	7224717	
1316	7229622	
1317	7234526	
1318	7239427	
1319	7244327	
1320	7249225	
1321	7254120	
1322	7259014	
1323	7263905	
1324	7268795	
1325	7273682	
1326	7278568	
1327	7283451	
1328	7288333	
1329	7293212	
1330	7298089	
1331	7302964	
1332	7307838	
1333	7312709	
1334	7317578	
1335	7322445	
1336	7327310	
1337	7332173	
1338	7337034	
1339	7341892	
1340	7346749	
1341	7351604	
1342	7356456	
1343	7361306	
1344	7366155	
1345	7371001	
1346	7375845	
1347	7380687	
1348	7385527	
1349	7390365	
1350	7395201	
1351	7400034	
1352	7404866	
1353	7409695	
1354	7414522	
1355	7419347	
1356	7424170	
1357	7428991	
1358	7433810	
1359	7438626	
1360	7443441	
1361	7448253	
1362	7453063	
1363	7457871	
1364	7462677	
1365	7467480	
1366	7472282	
1367	7477081	
1368	7481878	
1369	7486673	
1370	7491466	
1371	7496257	
1372	7501045	
1373	7505831	
1374	7510615	
1375	7515397	
1376	7520177	
1377	7524954	
1378	7529730	
1379	7534503	
1380	7539274	
1381	7544042	
1382	7548809	
1383	7553573	
1384	7558335	
1385	7563094	
1386	7567852	
1387	7572607	
1388	7577360	
1389	7582111	
1390	7586860	
1391	7591606	
1392	7596350	
1393	7601092	
1394	7605832	
1395	7610569	
1396	7615304	
1397	7620037	
1398	7624767	
1399	7629495	
1400	7634221	
1401	7638945	
1402	7643667	
1403	7648386	
1404	7653103	
1405	7657817	
1406	7662529	
1407	7667239	
1408	7671947	
1409	7676653	
1410	7681356	
1411	7686056	
1412	7690755	
1413	7695451	
1414	7700145	
1415	7704836	
1416	7709526	
1417	7714212	
1418	7718897	
1419	7723579	
1420	7728259	
1421	7732937	
1422	7737612	
1423	7742285	
1424	7746955	
1425	7751623	
1426	7756289	
1427	7760952	
1428	7765613	
1429	7770272	
1430	7774928	
1431	7779582	
1432	7784234	
1433	7788883	
1434	7793530	
1435	7798175	
1436	7802817	
1437	7807456	
1438	7812094	
1439	7816729	
1440	7821361	
1441	7825991	
1442	7830619	
1443	7835244	
1444	7839867	
1445	7844487	
1446	7849105	
1447	7853721	
1448	7858334	
1449	7862945	
1450	7867553	
1451	7872159	
1452	7876763	
1453	7881364	
1454	7885962	
1455	7890559	
1456	7895152	
1457	7899744	
1458	7904332	
1459	7908919	
1460	7913503	
1461	7918084	
1462	7922663	
1463	7927240	
1464	7931814	
1465	7936385	
1466	7940954	
1467	7945521	
1468	7950085	
1469	7954647	
1470	7959206	
1471	7963763	
1472	7968317	
1473	7972868	
1474	7977418	
1475	7981964	
1476	7986508	
1477	7991050	
1478	7995589	
1479	8000126	
1480	8004660	
1481	8009191	
1482	8013720	
1483	8018247	
1484	8022771	
1485	8027292	
1486	8031811	
1487	8036328	
1488	8040842	
1489	8045353	
1490	8049862	
1491	8054368	
1492	8058872	
1493	8063373	
1494	8067871	
1495	8072367	
1496	8076861	
1497	8081351	
1498	8085840	
1499	8090325	
1500	8094808	
1501	8099289	
1502	8103767	
1503	8108242	
1504	8112715	
1505	8117185	
1506	8121653	
1507	8126118	
1508	8130580	
